message_id,message_text,expected_sentiment
1,Багажная служба работает отвратительно! Потеряли чемодан с рейса SU596!,negative
2,Уже 11 дня жду свой чемодан с рейса SU749. Где мои вещи?!,negative
3,Багажная служба работает отвратительно! Потеряли чемодан с рейса SU962!,negative
4,"Потеряли мой багаж на рейсе SU238. Никто не может сказать, где он находится!",negative
5,Багажная служба работает отвратительно! Потеряли чемодан с рейса SU629!,negative
6,Багажная служба работает отвратительно! Потеряли чемодан с рейса SU726!,negative
7,Багаж задержали на 4 дней! Рейс SU539. Где компенсация?!,negative
8,"Багаж поврежден после перелета SU286. Чемодан разбит, вещи испорчены!",negative
9,Мой чемодан не прилетел вместе со мной рейсом SU697. Это катастрофа!,negative
10,"Багаж поврежден после перелета SU197. Чемодан разбит, вещи испорчены!",negative
11,Чемодан вскрыли и украли вещи на рейсе SU350! Возмутительно!,negative
12,Багаж задержали на 6 дней! Рейс SU627. Где компенсация?!,negative
13,Багажная служба работает отвратительно! Потеряли чемодан с рейса SU379!,negative
14,Чемодан вскрыли и украли вещи на рейсе SU302! Возмутительно!,negative
15,Чемодан вскрыли и украли вещи на рейсе SU447! Возмутительно!,negative
16,"Багаж поврежден после перелета SU659. Чемодан разбит, вещи испорчены!",negative
17,Чемодан вскрыли и украли вещи на рейсе SU274! Возмутительно!,negative
18,"Багаж поврежден после перелета SU168. Чемодан разбит, вещи испорчены!",negative
19,Уже 14 дня жду свой чемодан с рейса SU632. Где мои вещи?!,negative
20,Чемодан вскрыли и украли вещи на рейсе SU366! Возмутительно!,negative
21,Мой багаж потерян после рейса SU168! Номер багажной бирки 68702. Это недопустимо!,negative
22,Уже 7 дня жду свой чемодан с рейса SU907. Где мои вещи?!,negative
23,Чемодан вскрыли и украли вещи на рейсе SU805! Возмутительно!,negative
24,Чемодан вскрыли и украли вещи на рейсе SU110! Возмутительно!,negative
25,Мой чемодан не прилетел вместе со мной рейсом SU634. Это катастрофа!,negative
26,Мой багаж потерян после рейса SU486! Номер багажной бирки 55840. Это недопустимо!,negative
27,Багаж задержали на 5 дней! Рейс SU450. Где компенсация?!,negative
28,Чемодан вскрыли и украли вещи на рейсе SU624! Возмутительно!,negative
29,Мой багаж потерян после рейса SU532! Номер багажной бирки 46078. Это недопустимо!,negative
30,Уже 14 дня жду свой чемодан с рейса SU490. Где мои вещи?!,negative
31,Мой чемодан не прилетел вместе со мной рейсом SU340. Это катастрофа!,negative
32,Чемодан вскрыли и украли вещи на рейсе SU389! Возмутительно!,negative
33,"Потеряли мой багаж на рейсе SU292. Никто не может сказать, где он находится!",negative
34,"Багаж поврежден после перелета SU556. Чемодан разбит, вещи испорчены!",negative
35,Багаж задержали на 5 дней! Рейс SU288. Где компенсация?!,negative
36,"Багаж поврежден после перелета SU243. Чемодан разбит, вещи испорчены!",negative
37,Чемодан вскрыли и украли вещи на рейсе SU964! Возмутительно!,negative
38,Мой чемодан не прилетел вместе со мной рейсом SU489. Это катастрофа!,negative
39,Мой багаж потерян после рейса SU758! Номер багажной бирки 13309. Это недопустимо!,negative
40,"Потеряли мой багаж на рейсе SU225. Никто не может сказать, где он находится!",negative
41,Багаж задержали на 1 дней! Рейс SU427. Где компенсация?!,negative
42,"Потеряли мой багаж на рейсе SU583. Никто не может сказать, где он находится!",negative
43,Мой чемодан не прилетел вместе со мной рейсом SU255. Это катастрофа!,negative
44,Система выдает ошибку при выборе мест на рейс SU429!,negative
45,Ваш сайт бронирования ужасен! Невозможно купить билет!,negative
46,Система выдает ошибку при выборе мест на рейс SU644!,negative
47,Двойное списание при бронировании! Верните деньги!,negative
48,Не могу забронировать билет на сайте! Система постоянно выдает ошибку!,negative
49,Система выдает ошибку при выборе мест на рейс SU850!,negative
50,Ваш сайт бронирования ужасен! Невозможно купить билет!,negative
51,Система выдает ошибку при выборе мест на рейс SU567!,negative
52,"Бронирование сорвалось на последнем этапе. Деньги списаны, билета нет!",negative
53,"Бронирование сорвалось на последнем этапе. Деньги списаны, билета нет!",negative
54,"Пытаюсь забронировать рейс SU378 уже час, сайт не работает!",negative
55,Двойное списание при бронировании! Верните деньги!,negative
56,"Пытаюсь забронировать рейс SU930 уже час, сайт не работает!",negative
57,"Пытаюсь забронировать рейс SU785 уже час, сайт не работает!",negative
58,Система выдает ошибку при выборе мест на рейс SU748!,negative
59,Ваш сайт бронирования ужасен! Невозможно купить билет!,negative
60,"Бронирование сорвалось на последнем этапе. Деньги списаны, билета нет!",negative
61,"Пытаюсь забронировать рейс SU955 уже час, сайт не работает!",negative
62,Двойное списание при бронировании! Верните деньги!,negative
63,Не могу забронировать билет на сайте! Система постоянно выдает ошибку!,negative
64,Ваш сайт бронирования ужасен! Невозможно купить билет!,negative
65,Двойное списание при бронировании! Верните деньги!,negative
66,Не могу забронировать билет на сайте! Система постоянно выдает ошибку!,negative
67,Двойное списание при бронировании! Верните деньги!,negative
68,Не могу забронировать билет на сайте! Система постоянно выдает ошибку!,negative
69,Не могу забронировать билет на сайте! Система постоянно выдает ошибку!,negative
70,Двойное списание при бронировании! Верните деньги!,negative
71,Система выдает ошибку при выборе мест на рейс SU151!,negative
72,Двойное списание при бронировании! Верните деньги!,negative
73,"Пытаюсь забронировать рейс SU867 уже час, сайт не работает!",negative
74,"Оплата прошла, но билет не забронирован! Что происходит?!",negative
75,"Оплата прошла, но билет не забронирован! Что происходит?!",negative
76,"Бронирование сорвалось на последнем этапе. Деньги списаны, билета нет!",negative
77,Система выдает ошибку при выборе мест на рейс SU825!,negative
78,"Бронирование сорвалось на последнем этапе. Деньги списаны, билета нет!",negative
79,Система выдает ошибку при выборе мест на рейс SU865!,negative
80,"Оплата прошла, но билет не забронирован! Что происходит?!",negative
81,"Пытаюсь забронировать рейс SU939 уже час, сайт не работает!",negative
82,Система выдает ошибку при выборе мест на рейс SU496!,negative
83,"Оплата прошла, но билет не забронирован! Что происходит?!",negative
84,Система выдает ошибку при выборе мест на рейс SU888!,negative
85,Ваш сайт бронирования ужасен! Невозможно купить билет!,negative
86,Не могу забронировать билет на сайте! Система постоянно выдает ошибку!,negative
87,Третий раз за месяц отменяют рейс! Это неуважение к пассажирам!,negative
88,Третий раз за месяц отменяют рейс! Это неуважение к пассажирам!,negative
89,Рейс SU323 отменен без предупреждения! Я застряла в аэропорту!,negative
90,Рейс SU948 отменен без предупреждения! Я застряла в аэропорту!,negative
91,Отменили рейс и не предложили альтернативы! Что делать?!,negative
92,Рейс SU316 отменен без предупреждения! Я застряла в аэропорту!,negative
93,Отменили рейс и не предложили альтернативы! Что делать?!,negative
94,Третий раз за месяц отменяют рейс! Это неуважение к пассажирам!,negative
95,Отменили мой рейс за час до вылета! Это безобразие!,negative
96,Узнал об отмене рейса SU125 только в аэропорту! Кошмар!,negative
97,Отмена рейса SU845 сорвала все мои планы! Требую компенсацию!,negative
98,"Рейс SU660 отменен, компенсацию не предлагают! Как так?!",negative
99,Узнал об отмене рейса SU678 только в аэропорту! Кошмар!,negative
100,Узнал об отмене рейса SU792 только в аэропорту! Кошмар!,negative
101,Отменили рейс и не предложили альтернативы! Что делать?!,negative
102,"Рейс SU347 отменен, компенсацию не предлагают! Как так?!",negative
103,Рейс SU412 отменен без предупреждения! Я застряла в аэропорту!,negative
104,"Рейс SU671 отменен, компенсацию не предлагают! Как так?!",negative
105,Отмена рейса SU430 сорвала все мои планы! Требую компенсацию!,negative
106,Отмена рейса SU228 сорвала все мои планы! Требую компенсацию!,negative
107,Рейс SU658 отменен без предупреждения! Я застряла в аэропорту!,negative
108,Рейс SU681 отменен без предупреждения! Я застряла в аэропорту!,negative
109,Отмена рейса SU862 сорвала все мои планы! Требую компенсацию!,negative
110,Рейс SU262 отменен без предупреждения! Я застряла в аэропорту!,negative
111,"Рейс SU395 отменен, компенсацию не предлагают! Как так?!",negative
112,Рейс SU246 отменен без предупреждения! Я застряла в аэропорту!,negative
113,Отменили рейс и не предложили альтернативы! Что делать?!,negative
114,Отмена рейса SU924 сорвала все мои планы! Требую компенсацию!,negative
115,Отменили рейс и не предложили альтернативы! Что делать?!,negative
116,Третий раз за месяц отменяют рейс! Это неуважение к пассажирам!,negative
117,Отменили рейс и не предложили альтернативы! Что делать?!,negative
118,Отменили мой рейс за час до вылета! Это безобразие!,negative
119,Отменили рейс и не предложили альтернативы! Что делать?!,negative
120,Отмена рейса SU641 сорвала все мои планы! Требую компенсацию!,negative
121,Отменили рейс и не предложили альтернативы! Что делать?!,negative
122,Узнал об отмене рейса SU516 только в аэропорту! Кошмар!,negative
123,Узнал об отмене рейса SU408 только в аэропорту! Кошмар!,negative
124,Рейс SU133 отменен без предупреждения! Я застряла в аэропорту!,negative
125,Отмена рейса SU951 сорвала все мои планы! Требую компенсацию!,negative
126,Узнал об отмене рейса SU105 только в аэропорту! Кошмар!,negative
127,Рейс SU379 отменен без предупреждения! Я застряла в аэропорту!,negative
128,Рейс SU322 отменен без предупреждения! Я застряла в аэропорту!,negative
129,Рейс SU691 отменен без предупреждения! Я застряла в аэропорту!,negative
130,Задержка на 6 часа испортила все планы!,negative
131,Рейс SU804 задерживается уже 7 часа! Никакой информации!,negative
132,Постоянные задержки рейса SU681! Это норма для вас?!,negative
133,Задержка на 3 часа испортила все планы!,negative
134,Рейс SU815 задерживается уже 7 часа! Никакой информации!,negative
135,Рейс SU659 задерживается уже 1 часа! Никакой информации!,negative
136,Задержка на 1 часа испортила все планы!,negative
137,Рейс SU846 снова задерживают! Это уже постоянная практика!,negative
138,"Сидим в самолете уже час, вылет откладывают! Что происходит?!",negative
139,Задержка на 3 часа испортила все планы!,negative
140,Рейс SU251 снова задерживают! Это уже постоянная практика!,negative
141,Рейс SU209 задерживается уже 4 часа! Никакой информации!,negative
142,Рейс SU692 задерживается уже 8 часа! Никакой информации!,negative
143,Рейс SU949 снова задерживают! Это уже постоянная практика!,negative
144,Рейс SU627 снова задерживают! Это уже постоянная практика!,negative
145,Рейс SU984 задерживается уже 6 часа! Никакой информации!,negative
146,"Сидим в самолете уже час, вылет откладывают! Что происходит?!",negative
147,Постоянные задержки рейса SU124! Это норма для вас?!,negative
148,Рейс SU528 задерживается уже 5 часа! Никакой информации!,negative
149,"Сидим в самолете уже час, вылет откладывают! Что происходит?!",negative
150,Опаздываю на важную встречу из-за задержки вашего рейса!,negative
151,Постоянные задержки рейса SU792! Это норма для вас?!,negative
152,Задержка 4 часов без объяснений и компенсации! Безобразие!,negative
153,Рейс SU667 снова задерживают! Это уже постоянная практика!,negative
154,Рейс SU374 снова задерживают! Это уже постоянная практика!,negative
155,Задержка на 8 часа испортила все планы!,negative
156,"Сидим в самолете уже час, вылет откладывают! Что происходит?!",negative
157,Задержка на 7 часа испортила все планы!,negative
158,Рейс SU266 задерживается уже 2 часа! Никакой информации!,negative
159,Задержка 1 часов без объяснений и компенсации! Безобразие!,negative
160,Рейс SU154 задерживается уже 9 часа! Никакой информации!,negative
161,Постоянные задержки рейса SU186! Это норма для вас?!,negative
162,Задержка 5 часов без объяснений и компенсации! Безобразие!,negative
163,Постоянные задержки рейса SU176! Это норма для вас?!,negative
164,Задержка 4 часов без объяснений и компенсации! Безобразие!,negative
165,Постоянные задержки рейса SU455! Это норма для вас?!,negative
166,Опаздываю на важную встречу из-за задержки вашего рейса!,negative
167,Рейс SU208 снова задерживают! Это уже постоянная практика!,negative
168,Рейс SU129 задерживается уже 8 часа! Никакой информации!,negative
169,Постоянные задержки рейса SU882! Это норма для вас?!,negative
170,Рейс SU232 снова задерживают! Это уже постоянная практика!,negative
171,Задержка на 5 часа испортила все планы!,negative
172,Опаздываю на важную встречу из-за задержки вашего рейса!,negative
173,Возврат оформили частично! Где остальные деньги?!,negative
174,Невозможно вернуть деньги за билет! Ваша служба поддержки не отвечает!,negative
175,Требую немедленного возврата средств за отмененный рейс SU819!,negative
176,Требую немедленного возврата средств за отмененный рейс SU736!,negative
177,Возврат оформили частично! Где остальные деньги?!,negative
178,"Возврат обещали за 9 дней, прошел месяц - денег нет!",negative
179,Жду возврат уже 8 дней! Когда вернете деньги?!,negative
180,Требую немедленного возврата средств за отмененный рейс SU405!,negative
181,Требую немедленного возврата средств за отмененный рейс SU815!,negative
182,Возврат оформили частично! Где остальные деньги?!,negative
183,Жду возврат уже 12 дней! Когда вернете деньги?!,negative
184,Невозможно вернуть деньги за билет! Ваша служба поддержки не отвечает!,negative
185,"Возврат обещали за 1 дней, прошел месяц - денег нет!",negative
186,Жду возврат денег за билет уже 11 дней! Где мои деньги?!,negative
187,"Возврат обещали за 4 дней, прошел месяц - денег нет!",negative
188,Жду возврат денег за билет уже 5 дней! Где мои деньги?!,negative
189,Жду возврат денег за билет уже 12 дней! Где мои деньги?!,negative
190,Жду возврат уже 8 дней! Когда вернете деньги?!,negative
191,Жду возврат уже 10 дней! Когда вернете деньги?!,negative
192,Невозможно вернуть деньги за билет! Ваша служба поддержки не отвечает!,negative
193,Жду возврат денег за билет уже 8 дней! Где мои деньги?!,negative
194,Невозможно вернуть деньги за билет! Ваша служба поддержки не отвечает!,negative
195,"Отменила рейс SU331, а возврат не приходит! Это мошенничество!",negative
196,"Отменила рейс SU289, а возврат не приходит! Это мошенничество!",negative
197,"Возврат обещали за 9 дней, прошел месяц - денег нет!",negative
198,"Возврат обещали за 6 дней, прошел месяц - денег нет!",negative
199,"Возврат обещали за 4 дней, прошел месяц - денег нет!",negative
200,Невозможно вернуть деньги за билет! Ваша служба поддержки не отвечает!,negative
201,Возврат оформили частично! Где остальные деньги?!,negative
202,Возврат оформили частично! Где остальные деньги?!,negative
203,Возврат оформили частично! Где остальные деньги?!,negative
204,"Отменила рейс SU604, а возврат не приходит! Это мошенничество!",negative
205,Жду возврат уже 11 дней! Когда вернете деньги?!,negative
206,Невозможно вернуть деньги за билет! Ваша служба поддержки не отвечает!,negative
207,Требую немедленного возврата средств за отмененный рейс SU637!,negative
208,"Возврат обещали за 14 дней, прошел месяц - денег нет!",negative
209,"Возврат обещали за 13 дней, прошел месяц - денег нет!",negative
210,"Возврат обещали за 3 дней, прошел месяц - денег нет!",negative
211,Невозможно вернуть деньги за билет! Ваша служба поддержки не отвечает!,negative
212,Возврат оформили частично! Где остальные деньги?!,negative
213,Жду возврат уже 6 дней! Когда вернете деньги?!,negative
214,"Возврат обещали за 2 дней, прошел месяц - денег нет!",negative
215,Ужасное питание на борту рейса SU599. Несвежие продукты!,negative
216,Обслуживание на рейсе SU672 отвратительное! Грубый персонал!,negative
217,Грубое обслуживание на борту! Стюардессы игнорировали пассажиров!,negative
218,Ужасное питание на борту рейса SU407. Несвежие продукты!,negative
219,Холодная еда на рейсе SU122! Отвратительно!,negative
220,Ужасное питание на борту рейса SU704. Несвежие продукты!,negative
221,Холодная еда на рейсе SU982! Отвратительно!,negative
222,Ужасное питание на борту рейса SU364. Несвежие продукты!,negative
223,Обслуживание на рейсе SU383 отвратительное! Грубый персонал!,negative
224,Обслуживание на рейсе SU426 отвратительное! Грубый персонал!,negative
225,Обслуживание на рейсе SU254 отвратительное! Грубый персонал!,negative
226,Стюардессы хамили пассажирам на рейсе SU127. Неприемлемо!,negative
227,Стюардессы хамили пассажирам на рейсе SU377. Неприемлемо!,negative
228,Кондиционер не работал весь полет! Температура была невыносимой!,negative
229,Холодная еда на рейсе SU556! Отвратительно!,negative
230,Ужасное питание на борту рейса SU246. Несвежие продукты!,negative
231,Кондиционер не работал весь полет! Температура была невыносимой!,negative
232,Холодная еда на рейсе SU668! Отвратительно!,negative
233,Кондиционер не работал весь полет! Температура была невыносимой!,negative
234,Кондиционер не работал весь полет! Температура была невыносимой!,negative
235,Обслуживание на рейсе SU977 отвратительное! Грубый персонал!,negative
236,Стюардессы хамили пассажирам на рейсе SU858. Неприемлемо!,negative
237,Обслуживание на рейсе SU624 отвратительное! Грубый персонал!,negative
238,Не было еды на рейсе длительностью 10 часов! Это безобразие!,negative
239,Ужасное питание на борту рейса SU999. Несвежие продукты!,negative
240,Не было еды на рейсе длительностью 6 часов! Это безобразие!,negative
241,Стюардессы хамили пассажирам на рейсе SU381. Неприемлемо!,negative
242,Грубое обслуживание на борту! Стюардессы игнорировали пассажиров!,negative
243,Не было еды на рейсе длительностью 4 часов! Это безобразие!,negative
244,Холодная еда на рейсе SU810! Отвратительно!,negative
245,Грубое обслуживание на борту! Стюардессы игнорировали пассажиров!,negative
246,Стюардессы хамили пассажирам на рейсе SU229. Неприемлемо!,negative
247,Грубое обслуживание на борту! Стюардессы игнорировали пассажиров!,negative
248,Ужасное питание на борту рейса SU701. Несвежие продукты!,negative
249,Ужасное питание на борту рейса SU527. Несвежие продукты!,negative
250,Обслуживание на рейсе SU640 отвратительное! Грубый персонал!,negative
251,Ужасное питание на борту рейса SU186. Несвежие продукты!,negative
252,Стюардессы хамили пассажирам на рейсе SU266. Неприемлемо!,negative
253,Ужасное питание на борту рейса SU548. Несвежие продукты!,negative
254,Ужасное питание на борту рейса SU646. Несвежие продукты!,negative
255,Обслуживание на рейсе SU803 отвратительное! Грубый персонал!,negative
256,Грубое обслуживание на борту! Стюардессы игнорировали пассажиров!,negative
257,Не могу зарегистрироваться на рейс SU825! Сайт выдает ошибку!,negative
258,Не могу зарегистрироваться на рейс SU564! Сайт выдает ошибку!,negative
259,Очередь на регистрацию на рейс SU713 - 5 часа! Ужас!,negative
260,Регистрация закрылась за 29 минут до рейса! Не пустили!,negative
261,Регистрация закрылась за 15 минут до рейса! Не пустили!,negative
262,Онлайн-регистрация недоступна для рейса SU313! Почему?!,negative
263,Регистрация закрылась за 41 минут до рейса! Не пустили!,negative
264,Кошмарная организация регистрации! Пропустил рейс из-за очереди!,negative
265,Стойки регистрации на рейс SU406 работают медленно!,negative
266,Очередь на регистрацию на рейс SU667 - 1 часа! Ужас!,negative
267,Онлайн-регистрация недоступна для рейса SU991! Почему?!,negative
268,Онлайн-регистрация не работает! Застрял в аэропорту!,negative
269,Регистрация закрылась за 24 минут до рейса! Не пустили!,negative
270,Не могу зарегистрироваться на рейс SU424! Сайт выдает ошибку!,negative
271,Онлайн-регистрация недоступна для рейса SU672! Почему?!,negative
272,Очередь на регистрацию на рейс SU756 - 10 часа! Ужас!,negative
273,Очередь на регистрацию на рейс SU781 - 4 часа! Ужас!,negative
274,Онлайн-регистрация недоступна для рейса SU735! Почему?!,negative
275,Стойки регистрации на рейс SU544 работают медленно!,negative
276,Стойки регистрации на рейс SU969 работают медленно!,negative
277,Стойки регистрации на рейс SU570 работают медленно!,negative
278,Регистрация закрылась за 40 минут до рейса! Не пустили!,negative
279,Кошмарная организация регистрации! Пропустил рейс из-за очереди!,negative
280,Онлайн-регистрация недоступна для рейса SU386! Почему?!,negative
281,Онлайн-регистрация не работает! Застрял в аэропорту!,negative
282,Кошмарная организация регистрации! Пропустил рейс из-за очереди!,negative
283,Онлайн-регистрация не работает! Застрял в аэропорту!,negative
284,Онлайн-регистрация не работает! Застрял в аэропорту!,negative
285,Кошмарная организация регистрации! Пропустил рейс из-за очереди!,negative
286,Не могу зарегистрироваться на рейс SU352! Сайт выдает ошибку!,negative
287,Онлайн-регистрация не работает! Застрял в аэропорту!,negative
288,Не могу зарегистрироваться на рейс SU649! Сайт выдает ошибку!,negative
289,Онлайн-регистрация недоступна для рейса SU950! Почему?!,negative
290,Регистрация закрылась за 42 минут до рейса! Не пустили!,negative
291,Стойки регистрации на рейс SU964 работают медленно!,negative
292,Кошмарная организация регистрации! Пропустил рейс из-за очереди!,negative
293,Не могу зарегистрироваться на рейс SU533! Сайт выдает ошибку!,negative
294,Очередь на регистрацию на рейс SU994 - 2 часа! Ужас!,negative
295,Очередь на регистрацию на рейс SU935 - 3 часа! Ужас!,negative
296,Не могу зарегистрироваться на рейс SU814! Сайт выдает ошибку!,negative
297,Не могу зарегистрироваться на рейс SU855! Сайт выдает ошибку!,negative
298,Онлайн-регистрация не работает! Застрял в аэропорту!,negative
299,Цены на рейс SU998 взлетели в 4 раза за неделю! Это грабеж!,negative
300,Скрытые платежи при бронировании! Итоговая цена на 40% выше!,negative
301,Почему билеты такие дорогие?! Раньше было в 3 раза дешевле!,negative
302,Скрытые платежи при бронировании! Итоговая цена на 26% выше!,negative
303,Неоправданно высокие цены на багаж! 1600 рублей за чемодан!,negative
304,Дополнительные сборы не указаны при бронировании! Обман!,negative
305,Скрытые платежи при бронировании! Итоговая цена на 30% выше!,negative
306,Цены на рейс SU646 взлетели в 3 раза за неделю! Это грабеж!,negative
307,Дополнительные сборы не указаны при бронировании! Обман!,negative
308,Цены растут каждый день! Билет на SU715 стоит 3700 рублей!,negative
309,Цены на рейс SU489 взлетели в 2 раза за неделю! Это грабеж!,negative
310,Неоправданно высокие цены на багаж! 3300 рублей за чемодан!,negative
311,Цены растут каждый день! Билет на SU732 стоит 2900 рублей!,negative
312,Скрытые платежи при бронировании! Итоговая цена на 30% выше!,negative
313,Неоправданно высокие цены на багаж! 2000 рублей за чемодан!,negative
314,Скрытые платежи при бронировании! Итоговая цена на 31% выше!,negative
315,Цены на рейс SU280 взлетели в 4 раза за неделю! Это грабеж!,negative
316,Почему билеты такие дорогие?! Раньше было в 3 раза дешевле!,negative
317,Скрытые платежи при бронировании! Итоговая цена на 34% выше!,negative
318,Ваши тарифы самые дорогие на рынке! У конкурентов в 2 раза дешевле!,negative
319,Цены на рейс SU948 взлетели в 4 раза за неделю! Это грабеж!,negative
320,Почему билеты такие дорогие?! Раньше было в 4 раза дешевле!,negative
321,Почему билеты такие дорогие?! Раньше было в 3 раза дешевле!,negative
322,Скрытые платежи при бронировании! Итоговая цена на 36% выше!,negative
323,Дополнительные сборы не указаны при бронировании! Обман!,negative
324,Ваши тарифы самые дорогие на рынке! У конкурентов в 4 раза дешевле!,negative
325,Цены на рейс SU537 взлетели в 4 раза за неделю! Это грабеж!,negative
326,Неоправданно высокие цены на багаж! 2300 рублей за чемодан!,negative
327,Цены растут каждый день! Билет на SU271 стоит 2600 рублей!,negative
328,Почему билеты такие дорогие?! Раньше было в 4 раза дешевле!,negative
329,Дополнительные сборы не указаны при бронировании! Обман!,negative
330,Цены растут каждый день! Билет на SU907 стоит 1600 рублей!,negative
331,Почему билеты такие дорогие?! Раньше было в 4 раза дешевле!,negative
332,Цены на рейс SU198 взлетели в 3 раза за неделю! Это грабеж!,negative
333,Почему билеты такие дорогие?! Раньше было в 2 раза дешевле!,negative
334,Цены на рейс SU251 взлетели в 3 раза за неделю! Это грабеж!,negative
335,Скрытые платежи при бронировании! Итоговая цена на 45% выше!,negative
336,Дополнительные сборы не указаны при бронировании! Обман!,negative
337,Цены растут каждый день! Билет на SU803 стоит 2000 рублей!,negative
338,Почему билеты такие дорогие?! Раньше было в 4 раза дешевле!,negative
339,Скрытые платежи при бронировании! Итоговая цена на 45% выше!,negative
340,Цены на рейс SU687 взлетели в 2 раза за неделю! Это грабеж!,negative
341,"Потратил 30000 миль на билет, а получил ужасное место!",negative
342,Программа лояльности - обман! Мили не начисляются!,negative
343,Программа лояльности - обман! Мили не начисляются!,negative
344,Программа лояльности - обман! Мили не начисляются!,negative
345,Правила программы постоянно меняются не в пользу клиентов!,negative
346,Мили не начислились за рейс SU216! Уже 8 день жду!,negative
347,Мили не начислились за рейс SU724! Уже 12 день жду!,negative
348,Мили не начислились за рейс SU742! Уже 13 день жду!,negative
349,Программа лояльности не работает! Потерял все накопленные мили!,negative
